company_name,address,phone number,latitude,longitude,url
BNP Paribas India Solutions Pvt. Ltd.,"Infinity, Building No.4, 601, Off Film City Road, Malad, Raheja Housing and Commercial Complex, Malad East, Mumbai, Maharashtra 400097",022 6783 1000,19.1764356,72.8828069,"https://www.google.com/maps/place/BNP+Paribas+India+Solutions+Pvt.+Ltd./@19.1153234,72.7838584,12z/data=!3m1!5s0x3be7b79de2867ceb:0xf4e76c3702a3aa69!4m10!1m2!2m1!1sBNP+Paribas+mumbai!3m6!1s0x3be7b7989b65347b:0x8ebf37d546785cd!8m2!3d19.1764356!4d72.8828069!15sChJCTlAgUGFyaWJhcyBtdW1iYWkiA4gBAZIBEGNvcnBvcmF0ZV9vZmZpY2WqAVQKDS9nLzExYmM2dGg3bmcKCS9tLzAycWhrNBABMh4QASIaj_jYJkdgjJde019qpIMctRVZUHetsQGmiGIyFhACIhJibnAgcGFyaWJhcyBtdW1iYWngAQA!16s%2Fg%2F1vtzfpdw?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
India Business Group,"3, MAKER CHAMBER, 51-57, Nariman Point, Mumbai, Maharashtra 400021",022 6747 1646,18.9248887,72.8231604,"https://www.google.com/maps/place/India+Business+Group/@19.083058,72.87894,11z/data=!4m10!1m2!2m1!1sLeading+Business+Group+mumbai!3m6!1s0x3be7d1e95f255555:0x8116394f78344663!8m2!3d18.9248887!4d72.8231604!15sCh1MZWFkaW5nIEJ1c2luZXNzIEdyb3VwIG11bWJhaVofIh1sZWFkaW5nIGJ1c2luZXNzIGdyb3VwIG11bWJhaZIBF25vbl9wcm9maXRfb3JnYW5pemF0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVE1ZGtvelVFMW5FQUWqAWIQASoaIhZsZWFkaW5nIGJ1c2luZXNzIGdyb3VwKAAyHxABIhvgL62-w_g21jRKKNX57ug6rpPoe0sUabcKx5QyIRACIh1sZWFkaW5nIGJ1c2luZXNzIGdyb3VwIG11bWJhaeABAPoBBAgAEDI!16s%2Fg%2F11hzlxjc81?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Oracle India,"Unit No. 501, Level 5, No, First International Financial Center, C54 & 55, G Block, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",022 6175 8000,19.0690706,72.8701536,"https://www.google.com/maps/place/Oracle+India/@19.1057475,72.7723701,12z/data=!4m10!1m2!2m1!1sOracle+mumbai!3m6!1s0x3be7c8ec320045b3:0xedf9281b34065ab8!8m2!3d19.0690706!4d72.8701536!15sCg1PcmFjbGUgbXVtYmFpIgOIAQGSARBzb2Z0d2FyZV9jb21wYW55qgFaCg0vZy8xMWJicmhjOXRuCggvbS8wNW5qdxABKgoiBm9yYWNsZSgAMh4QASIat7jty0vazhZtqBVfQ2WrjusjRYJNNIZjmtQyERACIg1vcmFjbGUgbXVtYmFp4AEA!16s%2Fg%2F1thp6ghg?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Pacific Group of Companies (Mumbai Office),"Office No- 4, 4th Floor K Raheja Prime, Marol CHS Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",022 4010 8510,19.1099835,72.8834761,"https://www.google.com/maps/place/Pacific+Group+of+Companies+(Mumbai+Office)/@19.083058,72.87894,11z/data=!3m1!5s0x3be7c813187915ed:0xed63c8561f4e6743!4m10!1m2!2m1!1sa+global+professional+services+company+with+leading+capabili+mumbai!3m6!1s0x3be7c937cd7a9b75:0xf45eae15881032f7!8m2!3d19.1099835!4d72.8834761!15sCkNhIGdsb2JhbCBwcm9mZXNzaW9uYWwgc2VydmljZXMgY29tcGFueSB3aXRoIGxlYWRpbmcgY2FwYWJpbGkgbXVtYmFpWkUiQ2EgZ2xvYmFsIHByb2Zlc3Npb25hbCBzZXJ2aWNlcyBjb21wYW55IHdpdGggbGVhZGluZyBjYXBhYmlsaSBtdW1iYWmSAQticG9fY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VObGNuWjFTV1JCRUFF4AEA-gEECB4QQw!16s%2Fg%2F11m_rf_lfz?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
"101 CONNECT: Website, Software, Mobile App Developers Since 1999 | Mumbai.","Plot A, Mahant Chambers, 315, Rd Number 34, opp. Passport Office, Sathe Nagar, Jai Bhavani Nagar, Wagle Industrial Estate, Thane West, Thane, Maharashtra 400604",098201 82560,19.2010141,72.9499218,"https://www.google.com/maps/place/101+CONNECT:+Website,+Software,+Mobile+App+Developers+Since+1999+%7C+Mumbai./@19.083058,72.87894,11z/data=!4m9!1m2!2m1!1sDigiture+mumbai!3m5!1s0x3be7b8f78883bf3b:0x2afbf6d68733b8b7!8m2!3d19.2010141!4d72.9499218!16s%2Fg%2F11dxnlbrbk?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Unicon Logistics,"801&802, Antariksh Building, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",083558 27271,19.1093242,72.8815283,"https://www.google.com/maps/place/Unicon+Logistics/@19.0829325,72.3842372,9z/data=!3m1!5s0x3be7c814ba7b7ab5:0xe987a1e8afec6e5e!4m10!1m2!2m1!1sUnicon+Connectors+mumbai!3m6!1s0x3be7c9b40f92d70b:0xc3620b214477cb61!8m2!3d19.1093242!4d72.8815283!15sChhVbmljb24gQ29ubmVjdG9ycyBtdW1iYWlaGiIYdW5pY29uIGNvbm5lY3RvcnMgbXVtYmFpkgEQc2hpcHBpbmdfc2VydmljZaoBYgoIL20vMDR2bXAQASoVIhF1bmljb24gY29ubmVjdG9ycygAMh8QASIbutJ9VeuxhVqdSdCh5GRm-uH-ZgIx5Vb2wbdUMhwQAiIYdW5pY29uIGNvbm5lY3RvcnMgbXVtYmFp4AEA!16s%2Fg%2F11gmfx_dc3?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Prisma AI,"5th Floor, Star Hub, 2, Chhatrapati Shivaji Maharaj Int'l Airport Rd, J B Nagar, Andheri East, Mumbai, Maharashtra 400059",022 4503 1100,19.1054306,72.86837,"https://www.google.com/maps/place/Prisma+AI/@19.1088688,72.8632846,16z/data=!4m10!1m2!2m1!1sPrisma+Global+mumbai!3m6!1s0x3be7c822f93d3963:0x2126bd72c696c1ed!8m2!3d19.1054306!4d72.86837!15sChRQcmlzbWEgR2xvYmFsIG11bWJhaZIBEHNvZnR3YXJlX2NvbXBhbnmqAT0QATIfEAEiG9pKn4N6hYLIu1eVqnRGzjh9ZT5uD2061p5vCzIYEAIiFHByaXNtYSBnbG9iYWwgbXVtYmFp4AEA!16s%2Fg%2F11c1nqth8n?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
"Adaptive Tech Solutions -CCTV,IP, Camera, WiFi Installation, Acces Points, Telecom Intercom,Office Repair service in Fort","2nd Floor, Doctor House Building, 113, Bora Bazar St, Borabazar Precinct, Ballard Estate, Fort, Mumbai, Maharashtra 400001",090211 13174,18.9368272,72.8359159,"https://www.google.com/maps/place/Adaptive+Tech+Solutions+-CCTV,IP,+Camera,+WiFi+Installation,+Acces+Points,+Telecom+Intercom,Office+Repair+service+in+Fort/@19.0213476,72.779408,12z/data=!4m10!1m2!2m1!1sAidaptive+mumbai!3m6!1s0x3be7d14e7247662d:0xfcd7ea3b21988dcb!8m2!3d18.9368272!4d72.8359159!15sChBBaWRhcHRpdmUgbXVtYmFpWhIiEGFpZGFwdGl2ZSBtdW1iYWmSASN0ZWxlY29tbXVuaWNhdGlvbnNfc2VydmljZV9wcm92aWRlcqoBSBABKg0iCWFpZGFwdGl2ZSgAMh8QASIb87OFyYvJUFOfKpCuw0iF88IUigZp7x68542tMhQQAiIQYWlkYXB0aXZlIG11bWJhaeABAA!16s%2Fg%2F11kn2zw2n3?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Vi - Vodafone Idea mini Store,not found,096196 58508,18.9982297,72.8233491,"https://www.google.com/maps/place/Vi+-+Vodafone+Idea+mini+Store/@18.9982348,72.8207742,17z/data=!4m10!1m2!2m1!1sIdea+Elan+mumbai!3m6!1s0x3be7ceea72c19b83:0xc06316f245495a78!8m2!3d18.9982297!4d72.8233491!15sChBJZGVhIEVsYW4gbXVtYmFpkgEjdGVsZWNvbW11bmljYXRpb25zX3NlcnZpY2VfcHJvdmlkZXLgAQA!16s%2Fg%2F1pv1rvzz2?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
NetTech India,"Railway Station, 302, A Wing Om Shivam Center, Sector 20, opposite Nerul, Nerul West, Navi Mumbai, Maharashtra 400706",093724 35654,19.0343512,73.0169596,"https://www.google.com/maps/place/NetTech+India/@19.083058,72.87894,11z/data=!3m1!5s0x3be7c3ea2e06235b:0x999dcb1fd890b195!4m10!1m2!2m1!1sNettech+mumbai!3m6!1s0x3be7c324235f8fc9:0xc840e679136411e1!8m2!3d19.0343512!4d73.0169596!15sCg5OZXR0ZWNoIG11bWJhaZIBEGVkdWNhdGlvbl9jZW50ZXKqAUUKDS9nLzExa2MwZ3Y5cWsQATIeEAEiGuBM07D39pm9ULK9XzEhSkWMcXHUeuHXSSK7MhIQAiIObmV0dGVjaCBtdW1iYWngAQA!16s%2Fg%2F11sv_h8wkr?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
HDFC Bank,"Shop No 10 to 12, Giriraj Complex, Seawoods West, Sector-48, Seawoods, Navi Mumbai, Maharashtra 400706",094097 67967,19.0187579,73.0165385,"https://www.google.com/maps/place/HDFC+Bank/@19.083058,72.87894,11z/data=!4m10!1m2!2m1!1sHdfc+Bank+mumbai!3m6!1s0x3be7c3bd77d8c63f:0x91479abf1b699a3e!8m2!3d19.0187579!4d73.0165385!15sChBIZGZjIEJhbmsgbXVtYmFpIgOIAQFaEiIQaGRmYyBiYW5rIG11bWJhaZIBBGJhbmuqAWMKDS9nLzExYjdyeGw1M3QKCi9tLzAyNXR6Z2sQASoNIgloZGZjIGJhbmsoADIfEAEiG7Yl3eX5Wfsh2pnzgRDaQrTfGg8DKhmaoaEBXTIUEAIiEGhkZmMgYmFuayBtdW1iYWngAQA!16s%2Fg%2F1ptx6t2cv?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Impact Analytics,"Block-C, Ground Floor, Global Technology Park, Outer Ring Rd, Bellandur, Bengaluru, Karnataka 560103",066789 95128,12.9246036,77.683151,"https://www.google.com/maps/place/Impact+Analytics/@19.0175225,67.7439548,6z/data=!3m1!5s0x3bae13099261c14f:0xbfb65e8f62b3cd82!4m10!1m2!2m1!1sImpact+Analytics+mumbai!3m6!1s0x3bae1493c7eb10b7:0x68795f97a6d67137!8m2!3d12.9246036!4d77.683151!15sChdJbXBhY3QgQW5hbHl0aWNzIG11bWJhaVoZIhdpbXBhY3QgYW5hbHl0aWNzIG11bWJhaZIBEHNvZnR3YXJlX2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlNjSE0zY205blJSQUKqAVYQASoUIhBpbXBhY3QgYW5hbHl0aWNzKAAyHxABIhvaSp9FflXavBVkz8zSE8xueExx_EekXQva-g8yGxACIhdpbXBhY3QgYW5hbHl0aWNzIG11bWJhaeABAPoBBAgAEBE!16s%2Fg%2F11c17cy1lb?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Impact App,not found,not found,19.0759882,72.9918123,"https://www.google.com/maps/place/Impact+App/@19.0175225,67.7439548,6z/data=!3m1!5s0x3bae13099261c14f:0xbfb65e8f62b3cd82!4m10!1m2!2m1!1sImpact+Analytics+mumbai!3m6!1s0x3be7c7650ad88acf:0x8ee95b6cf12231a6!8m2!3d19.0759882!4d72.9918123!15sChdJbXBhY3QgQW5hbHl0aWNzIG11bWJhaZIBEHNvZnR3YXJlX2NvbXBhbnmqAVYQASoUIhBpbXBhY3QgYW5hbHl0aWNzKAAyHxABIhvaSp9FflXavBVkz8zSE8xueExx_EekXQva-g8yGxACIhdpbXBhY3QgYW5hbHl0aWNzIG11bWJhaeABAA!16s%2Fg%2F11hzd1dsqt?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Shree Shashwat Solutions,"Mahalakshmi CHS Rupali Cinema Road, near Bank Of Maharashtra, Panvel, Navi Mumbai, Maharashtra 410206",not found,18.9847535,73.1115851,"https://www.google.com/maps/place/Shree+Shashwat+Solutions/@19.0829325,72.3842372,9z/data=!4m10!1m2!2m1!1sShashwath+Solution+mumbai!3m6!1s0x3be7e8697c3c60d7:0x7ee75bf4533aa23d!8m2!3d18.9847535!4d73.1115851!15sChlTaGFzaHdhdGggU29sdXRpb24gbXVtYmFpWhsiGXNoYXNod2F0aCBzb2x1dGlvbiBtdW1iYWmSAR9zb2xhcl9lbmVyZ3lfZXF1aXBtZW50X3N1cHBsaWVyqgFaEAEqFiISc2hhc2h3YXRoIHNvbHV0aW9uKAAyHxABIhvaUzaQ7t_pD4-KEyz4CpqLO-cnF2NW-VrfT1QyHRACIhlzaGFzaHdhdGggc29sdXRpb24gbXVtYmFp4AEA!16s%2Fg%2F11gbt_v__7?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
National Payments Corporation of India,"1001A, B wing, 10th Floor, The Capital, Bandra Kurla Complex Rd, Bharat Nagar, Bandra East, Mumbai, Maharashtra 400051",022 4000 9100,19.0635936,72.8619972,"https://www.google.com/maps/place/National+Payments+Corporation+of+India/@19.1032789,72.8170534,13z/data=!3m1!5s0x3be7c87b9505645d:0x72b4388ef06cc9f1!4m10!1m2!2m1!1sNational+Payments+Corporation+of+India+(NPCI)+mumbai!3m6!1s0x3bcb90c185f51d53:0xbe9125a7a80fc2!8m2!3d19.0635936!4d72.8619972!15sCjROYXRpb25hbCBQYXltZW50cyBDb3Jwb3JhdGlvbiBvZiBJbmRpYSAoTlBDSSkgbXVtYmFpIgOIAQGSARFnb3Zlcm5tZW50X29mZmljZaoBpwEKDS9nLzExY3M1ZGRjbV8KCi9tLzBjNDBnM2QQASovIituYXRpb25hbCBwYXltZW50cyBjb3Jwb3JhdGlvbiBvZiBpbmRpYSBucGNpKAAyHxABIhu325e2CY2V_g5fOLA8ZwTkfYKR9PgR89R9UiYyNhACIjJuYXRpb25hbCBwYXltZW50cyBjb3Jwb3JhdGlvbiBvZiBpbmRpYSBucGNpIG11bWJhaeABAA!16s%2Fg%2F11cp09tr_w?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Bajaj Allianz General Insurance - Shushrusha Heart Care Centre And Speciality Hospital,not found,022 6459 6661,19.043479,73.009472,"https://www.google.com/maps/place/Bajaj+Allianz+General+Insurance+-+Shushrusha+Heart+Care+Centre+And+Speciality+Hospital/@19.083058,72.87894,11z/data=!4m10!1m2!2m1!1sCare+Allianz+mumbai!3m6!1s0x3be7c3ad25cdecbd:0xfe5f19aebe0aeca6!8m2!3d19.043479!4d73.009472!15sChNDYXJlIEFsbGlhbnogbXVtYmFpIgOIAQGSARFpbnN1cmFuY2VfY29tcGFueaoBcgoNL2cvMTFiYzV6cWQxdgoJL20vMDNzNTlqCggvbS8wNHZtcBABKhAiDGNhcmUgYWxsaWFueigAMh8QASIbiDy0dN4NPvuxIimc3dmN1COgoEinrahkGrOCMhcQAiITY2FyZSBhbGxpYW56IG11bWJhaeABAA!16s%2Fg%2F11lnhxymbq?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
For Young India - B Office,"Cross Rd A, Shanti Nagar, Andheri East, Mumbai, Maharashtra 400093",not found,19.1205819,72.8652582,"https://www.google.com/maps/place/For+Young+India+-+B+Office/@19.1195803,72.8503016,13z/data=!4m10!1m2!2m1!1sCoinbase+India+Services+mumbai!3m6!1s0x3be7c9416b09d233:0xfa277febfc37e1ae!8m2!3d19.1205819!4d72.8652582!15sCh5Db2luYmFzZSBJbmRpYSBTZXJ2aWNlcyBtdW1iYWlaICIeY29pbmJhc2UgaW5kaWEgc2VydmljZXMgbXVtYmFpkgEQY29ycG9yYXRlX29mZmljZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReGJUVXphRlJSRUFFqgFwCgovbS8wd3IzcWpxEAEqGyIXY29pbmJhc2UgaW5kaWEgc2VydmljZXMoADIfEAEiG7idCYJvF5RA2ZrvGN5f88d_NzxYUeTIehJ5PzIiEAIiHmNvaW5iYXNlIGluZGlhIHNlcnZpY2VzIG11bWJhaeABAPoBBAgAEAw!16s%2Fg%2F11rdbwcnn1?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
NOVELTECH FEEDS PVT LTD,"5th Floor, Nirton House, 5th floor, Dr Annie Besant Rd, Hanuman Nagar, Worli, Mumbai, Maharashtra 400030",076600 11560,19.0098227,72.8205183,"https://www.google.com/maps/place/NOVELTECH+FEEDS+PVT+LTD/@19.083058,72.87894,11z/data=!3m1!5s0x3be7ce9618a0d807:0x869ad8b1abf9ad0e!4m10!1m2!2m1!1sNovel+Office+mumbai!3m6!1s0x3be7cf089ae3074d:0x5a24a63ea30209c3!8m2!3d19.0098227!4d72.8205183!15sChNOb3ZlbCBPZmZpY2UgbXVtYmFpkgEQY29ycG9yYXRlX29mZmljZaoBWAoIL20vMDVoZ2oQASoQIgxub3ZlbCBvZmZpY2UoADIfEAEiG_a81CKMF0-mxDREZqvHiwiDvN1-siC3hgx7zzIXEAIiE25vdmVsIG9mZmljZSBtdW1iYWngAQA!16s%2Fg%2F11fj175rsy?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Novel Homes,not found,022 4976 7801,19.2034401,72.9495651,"https://www.google.com/maps/place/Novel+Homes/@19.0098227,72.5321272,11z/data=!3m1!5s0x3be7ce9618a0d807:0x869ad8b1abf9ad0e!4m10!1m2!2m1!1sNovel+Office+mumbai!3m6!1s0x3be7b90bafd39ea7:0xb9e62dae20cd1f50!8m2!3d19.2034401!4d72.9495651!15sChNOb3ZlbCBPZmZpY2UgbXVtYmFpkgEQY29ycG9yYXRlX29mZmljZaoBWAoIL20vMDVoZ2oQASoQIgxub3ZlbCBvZmZpY2UoADIfEAEiG_a81CKMF0-mxDREZqvHiwiDvN1-siC3hgx7zzIXEAIiE25vdmVsIG9mZmljZSBtdW1iYWngAQA!16s%2Fg%2F11j09ybb9g?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Dream11,"1201-1202, 12th Floor, Wing-A, ONE BKC, Plot No. 66, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",not found,19.0606404,72.8653909,"https://www.google.com/maps/place/Dream11/@19.0829325,72.3842372,9z/data=!3m1!5s0x3be7c8ef156ca679:0x39aea6d3c64cccf7!4m10!1m2!2m1!1sDream11+mumbai!3m6!1s0x3be7c8e635ebc211:0x63f0ef49080850eb!8m2!3d19.0606404!4d72.8653909!15sCg5EcmVhbTExIG11bWJhaZIBEGNvcnBvcmF0ZV9vZmZpY2WqAVMKDS9nLzExanNzeDNsa18QASoLIgdkcmVhbTExKAAyHxABIhu1XDKACrojsz1Hr1dcVUlXBRtukSrTejh_sOMyEhACIg5kcmVhbTExIG11bWJhaeABAA!16s%2Fg%2F11jssx3lk_?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Sun Pharmaceutical Industries Ltd.,"CTS, 1, SUN HOUSE, No. 201 B, Western Express Hwy, Geetanjali Railway Colony, Ram Nagar, Goregaon, Mumbai, Maharashtra 400063",022 4324 4324,19.1437704,72.8551596,"https://www.google.com/maps/place/Sun+Pharmaceutical+Industries+Ltd./@19.1309978,72.8434031,14z/data=!4m10!1m2!2m1!1sSun+Pharma+mumbai!3m6!1s0x3be7c82f4e9aef5d:0xbf859e58fca7b6e!8m2!3d19.1437704!4d72.8551596!15sChFTdW4gUGhhcm1hIG11bWJhaSIDiAEBkgEWcGhhcm1hY2V1dGljYWxfY29tcGFueaoBZQoNL2cvMTFidzFfMzIyaAoKL20vMDQ3YzJfehABKg4iCnN1biBwaGFybWEoADIfEAEiG7_fi_DRnHQv09qkcii5tCgQc0ba_6ThR34RcjIVEAIiEXN1biBwaGFybWEgbXVtYmFp4AEA!16s%2Fg%2F1hhj8m8xs?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
SunPharma Midc,"89, Rd Number 15, Marol MIDC Industry Estate, Andheri East, Mumbai, Maharashtra 400069",not found,19.1181465,72.8728459,"https://www.google.com/maps/place/SunPharma+Midc/@19.1437704,72.8191107,14z/data=!4m10!1m2!2m1!1sSun+Pharma+mumbai!3m6!1s0x3be7c83d258dac3d:0x9d8b8b7d7597129f!8m2!3d19.1181465!4d72.8728459!15sChFTdW4gUGhhcm1hIG11bWJhaSIDiAEBkgEQY29ycG9yYXRlX29mZmljZaoBZQoNL2cvMTFidzFfMzIyaAoKL20vMDQ3YzJfehABKg4iCnN1biBwaGFybWEoADIfEAEiG7_fi_DRnHQv09qkcii5tCgQc0ba_6ThR34RcjIVEAIiEXN1biBwaGFybWEgbXVtYmFp4AEA!16s%2Fg%2F11dyx4pcyn?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Pharma Access,"SUPREME CHAMBERS, 702, 17/18, Veera Desai Rd, Shah Industrial Estate, Andheri West, Mumbai, Maharashtra 400053",022 6819 3888,19.1336691,72.8364399,"https://www.google.com/maps/place/Pharma+Access/@19.1814199,72.8031401,13z/data=!4m10!1m2!2m1!1sPharmaforceiq+mumbai!3m6!1s0x3be7b6249988a9b3:0x34a1f79e2ed3eec3!8m2!3d19.1336691!4d72.8364399!15sChRQaGFybWFmb3JjZWlxIG11bWJhaVoWIhRwaGFybWFmb3JjZWlxIG11bWJhaZIBFmVuZ2luZWVyaW5nX2NvbnN1bHRhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTNkVTloWW1oM1JSQUKqAVoKCC9tLzA0dm1wEAEqESINcGhhcm1hZm9yY2VpcSgAMh8QASIbsjvPnZgqU--EsoP3SK3QrB8Xd3yGNcL4b7piMhgQAiIUcGhhcm1hZm9yY2VpcSBtdW1iYWngAQD6AQQIABBJ!16s%2Fg%2F11c581n2fk?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Explore 360 HR Solutions,not found,093725 13251,20.6924466,75.3291284,"https://www.google.com/maps/place/Explore+360+HR+Solutions/@20.6924466,75.0407373,11z/data=!4m10!1m2!2m1!1sHR+Solutions+mumbai!3m6!1s0x3be7c9bdece6397b:0x4ee5d18058ac7f34!8m2!3d20.6924466!4d75.3291284!15sChNIUiBTb2x1dGlvbnMgbXVtYmFpWhUiE2hyIHNvbHV0aW9ucyBtdW1iYWmSARpodW1hbl9yZXNzb3VyY2VfY29uc3VsdGluZ5oBJENoZERTVWhOTUc5blMwVk5Teko0VERNMGVtTmxOVzEzUlJBQqoBVQoNL2cvMTFienQ4eGRwMQoIL20vMDR2bXAQATIfEAEiG9rPbcy7QEEw73AUl_FPkasKo9EgIBWIl4tM7jIXEAIiE2hyIHNvbHV0aW9ucyBtdW1iYWngAQD6AQQIABBI!16s%2Fg%2F11k55c3q94?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Thinkpod HR Solutions Pvt. Ltd.,"Nerul Station Complex, C-216, 2nd, Nerul East, Navi Mumbai, Maharashtra 400706",098201 75633,19.0332774,73.0180735,"https://www.google.com/maps/place/Thinkpod+HR+Solutions+Pvt.+Ltd./@20.6924466,75.0407373,11z/data=!4m10!1m2!2m1!1sHR+Solutions+mumbai!3m6!1s0x3be7c35d82c9d747:0x527e34173b6ddec!8m2!3d19.0332774!4d73.0180735!15sChNIUiBTb2x1dGlvbnMgbXVtYmFpWhUiE2hyIHNvbHV0aW9ucyBtdW1iYWmSARFlbXBsb3ltZW50X2FnZW5jeaoBVQoNL2cvMTFienQ4eGRwMQoIL20vMDR2bXAQATIfEAEiG9rPbcy7QEEw73AUl_FPkasKo9EgIBWIl4tM7jIXEAIiE2hyIHNvbHV0aW9ucyBtdW1iYWngAQA!16s%2Fg%2F11gj0wvxgx?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
